tweet_id,favorites,retweets,followers_count
794332329137291264,10323,2929,7413795
794205286408003585,9917,3666,7413795
793962221541933056,18156,5419,7413795
793845145112371200,9927,2083,7413795
793614319594401792,0,3455,7413795
793601777308463104,8600,1815,7413795
793500921481273345,11540,2642,7413795
793286476301799424,26562,10196,7413795
793271401113350145,9325,2623,7413795
793256262322548741,21562,9240,7413795
793241302385262592,11355,3633,7413795
793226087023144960,10625,3174,7413795
793210959003287553,9640,3119,7413795
793195938047070209,16475,6230,7413795
793180763617361921,7466,2204,7413795
793165685325201412,10144,3084,7413795
793150605191548928,6653,1890,7413795
793135492858580992,6979,2768,7413795
793120401413079041,13698,4333,7413795
792913359805018113,15479,4454,7413795
792883833364439040,12211,4732,7413795
792773781206999040,7928,1863,7413795
792394556390137856,14529,4750,7413795
792050063153438720,7752,1989,7413795
791821351946420224,0,23281,7413795
791784077045166082,0,10678,7413795
791780927877898241,0,4207,7413795
791774931465953280,48712,24589,7413795
791672322847637504,12691,3455,7413795
791406955684368384,14164,4558,7413795
791312159183634433,9482,2818,7413795
791026214425268224,0,4560,7413795
790987426131050500,10678,2368,7413795
790946055508652032,17918,5198,7413795
790723298204217344,0,2571,7413795
790698755171364864,8839,2111,7413795
790581949425475584,22305,7952,7413795
790337589677002753,8442,2065,7413795
790277117346975746,13517,3533,7413795
790227638568808452,0,3954,7413795
789986466051088384,9976,2571,7413795
789960241177853952,0,4596,7413795
789903600034189313,11213,4574,7413795
789628658055020548,8109,1970,7413795
789599242079838210,7301,2146,7413795
789530877013393408,12693,3736,7413795
789314372632018944,9275,2550,7413795
789280767834746880,0,5477,7413795
789268448748703744,9828,2855,7413795
789137962068021249,10461,3093,7413795
788908386943430656,29539,13714,7413795
788765914992902144,29574,11403,7413795
788552643979468800,0,7969,7413795
788412144018661376,16813,5862,7413795
788178268662984705,7806,2343,7414394
788150585577050112,6639,1440,7413795
788070120937619456,0,3781,7413795
788039637453406209,6629,1467,7413795
787810552592695296,9358,3372,7413795
787717603741622272,11009,3078,7413795
787397959788929025,11689,3136,7413795
787322443945877504,8398,1926,7413795
787111942498508800,0,7413,7413795
786963064373534720,28632,8842,7413795
786729988674449408,0,2674,7413795
786709082849828864,19575,6728,7413795
786664955043049472,11497,2838,7413795
786595970293370880,10130,3423,7414394
786363235746385920,11744,3876,7413795
786286427768250368,8595,3163,7413795
786233965241827333,16493,5275,7413795
786051337297522688,1550,169,7413795
786036967502913536,0,7807,7413795
785927819176054784,12234,3495,7413795
785872687017132033,7201,2020,7413795
785639753186217984,8413,2456,7413795
785533386513321988,9812,2218,7413795
785515384317313025,6558,1389,7413795
785264754247995392,7814,1811,7413795
785170936622350336,13024,5369,7413795
784826020293709826,10910,3562,7413795
